service_id,date,exception_type
150804_merged_2013869,20141117,1
150804_merged_2013869,20141015,1
150804_merged_2013869,20141119,1
150804_merged_2013869,20141010,1
150804_merged_2013869,20141013,1
150804_merged_2013869,20141031,1
150804_merged_2013869,20141205,1
150804_merged_2013869,20140917,1
150804_merged_2013869,20140915,1
150804_merged_2013869,20140912,1
150804_merged_2013869,20140910,1
150804_merged_2013869,20141121,1
150804_merged_2013869,20141124,1
150804_merged_2013869,20140919,1
150804_merged_2013869,20141126,1
150804_merged_2013869,20141103,1
150804_merged_2013869,20141008,1
150804_merged_2013869,20141107,1
150804_merged_2013869,20141105,1
150804_merged_2013869,20141003,1
150804_merged_2013869,20141001,1
150804_merged_2013869,20141006,1
82404_merged_2013868,20141024,1
82404_merged_2013868,20141027,1
82404_merged_2013868,20141020,1
82404_merged_2013868,20141021,1
82404_merged_2013868,20141022,1
82404_merged_2013868,20141023,1
82404_merged_2013868,20141028,1
82404_merged_2013868,20141029,1
82404_merged_2013868,20140827,1
82404_merged_2013868,20140826,1
82404_merged_2013868,20140825,1
82404_merged_2013868,20140902,1
82404_merged_2013868,20140903,1
82404_merged_2013868,20140908,1
82404_merged_2013868,20140909,1
82404_merged_2013868,20140829,1
82404_merged_2013868,20140828,1
82404_merged_2013868,20141110,1
82404_merged_2013868,20141111,1
82404_merged_2013868,20141112,1
82404_merged_2013868,20141113,1
82404_merged_2013868,20141114,1
82404_merged_2013868,20141117,1
82404_merged_2013868,20141015,1
82404_merged_2013868,20141014,1
82404_merged_2013868,20141010,1
82404_merged_2013868,20141013,1
82404_merged_2013868,20141031,1
82404_merged_2013868,20141030,1
82404_merged_2013868,20141118,1
82404_merged_2013868,20141119,1
82404_merged_2013868,20140917,1
82404_merged_2013868,20140916,1
82404_merged_2013868,20140915,1
82404_merged_2013868,20140912,1
82404_merged_2013868,20140911,1
82404_merged_2013868,20140910,1
82404_merged_2013868,20140919,1
82404_merged_2013868,20140918,1
82404_merged_2013868,20141103,1
82404_merged_2013868,20141107,1
82404_merged_2013868,20141106,1
82404_merged_2013868,20141105,1
82404_merged_2013868,20141104,1
82404_merged_2013868,20141201,1
82404_merged_2013868,20141202,1
82404_merged_2013868,20141203,1
82404_merged_2013868,20141204,1
82404_merged_2013868,20141205,1
82404_merged_2013868,20140929,1
82404_merged_2013868,20140922,1
82404_merged_2013868,20140923,1
82404_merged_2013868,20140924,1
82404_merged_2013868,20140925,1
82404_merged_2013868,20140904,1
82404_merged_2013868,20140905,1
82404_merged_2013868,20140930,1
82404_merged_2013868,20141121,1
82404_merged_2013868,20141120,1
82404_merged_2013868,20141125,1
82404_merged_2013868,20141124,1
82404_merged_2013868,20141008,1
82404_merged_2013868,20141009,1
82404_merged_2013868,20141002,1
82404_merged_2013868,20141003,1
82404_merged_2013868,20141001,1
82404_merged_2013868,20141006,1
82404_merged_2013868,20141007,1
168202_merged_2013846,20140809,1
168202_merged_2013846,20140816,1
168202_merged_2013846,20140802,1
46304,20141024,1
46304,20140905,1
46304,20140822,1
46304,20141031,1
46304,20141121,1
46304,20141205,1
46304,20140919,1
46304,20141114,1
46304,20140829,1
46304,20141003,1
46304,20141107,1
46304,20141017,1
46304,20140926,1
46304,20141010,1
46304,20140912,1
84204,20140519,1
84204,20140513,1
84204,20140512,1
84204,20140414,1
84204,20140415,1
84204,20140516,1
84204,20140515,1
84204,20140514,1
84204,20140620,1
84204,20140623,1
84204,20140625,1
84204,20140624,1
84204,20140627,1
84204,20140626,1
84204,20140416,1
84204,20140708,1
84204,20140709,1
84204,20140417,1
84204,20140702,1
84204,20140703,1
84204,20140701,1
84204,20140707,1
84204,20140721,1
84204,20140722,1
84204,20140723,1
84204,20140527,1
84204,20140604,1
84204,20140728,1
84204,20140729,1
84204,20140520,1
84204,20140521,1
84204,20140812,1
84204,20140813,1
84204,20140811,1
84204,20140814,1
84204,20140815,1
84204,20140424,1
84204,20140522,1
84204,20140611,1
84204,20140612,1
84204,20140613,1
84204,20140718,1
84204,20140616,1
84204,20140617,1
84204,20140715,1
84204,20140714,1
84204,20140717,1
84204,20140716,1
84204,20140711,1
84204,20140710,1
84204,20140530,1
84204,20140731,1
84204,20140730,1
84204,20140430,1
84204,20140808,1
84204,20140805,1
84204,20140804,1
84204,20140807,1
84204,20140806,1
84204,20140801,1
84204,20140610,1
84204,20140528,1
84204,20140529,1
84204,20140603,1
84204,20140602,1
84204,20140606,1
84204,20140605,1
84204,20140501,1
84204,20140609,1
84204,20140502,1
84204,20140508,1
84204,20140509,1
84204,20140429,1
84204,20140428,1
84204,20140423,1
84204,20140422,1
84204,20140421,1
84204,20140505,1
84204,20140425,1
84204,20140523,1
84204,20140618,1
84204,20140506,1
84204,20140619,1
84204,20140507,1
84204,20140630,1
15_merged_2013852,20140724,1
13304_merged_2013867,20141024,1
13304_merged_2013867,20141027,1
13304_merged_2013867,20141020,1
13304_merged_2013867,20141021,1
13304_merged_2013867,20141022,1
13304_merged_2013867,20141023,1
13304_merged_2013867,20141028,1
13304_merged_2013867,20141029,1
13304_merged_2013867,20140827,1
13304_merged_2013867,20140826,1
13304_merged_2013867,20140825,1
13304_merged_2013867,20140902,1
13304_merged_2013867,20140903,1
13304_merged_2013867,20140908,1
13304_merged_2013867,20140909,1
13304_merged_2013867,20140829,1
13304_merged_2013867,20140828,1
13304_merged_2013867,20141110,1
13304_merged_2013867,20141111,1
13304_merged_2013867,20141112,1
13304_merged_2013867,20141113,1
13304_merged_2013867,20141114,1
13304_merged_2013867,20141117,1
13304_merged_2013867,20141015,1
13304_merged_2013867,20141014,1
13304_merged_2013867,20141016,1
13304_merged_2013867,20141010,1
13304_merged_2013867,20141013,1
13304_merged_2013867,20141031,1
13304_merged_2013867,20141030,1
13304_merged_2013867,20141118,1
13304_merged_2013867,20141119,1
13304_merged_2013867,20140917,1
13304_merged_2013867,20140916,1
13304_merged_2013867,20140915,1
13304_merged_2013867,20140912,1
13304_merged_2013867,20140911,1
13304_merged_2013867,20140910,1
13304_merged_2013867,20140919,1
13304_merged_2013867,20140918,1
13304_merged_2013867,20141103,1
13304_merged_2013867,20141107,1
13304_merged_2013867,20141106,1
13304_merged_2013867,20141105,1
13304_merged_2013867,20141104,1
13304_merged_2013867,20141201,1
13304_merged_2013867,20141202,1
13304_merged_2013867,20141203,1
13304_merged_2013867,20141204,1
13304_merged_2013867,20141205,1
13304_merged_2013867,20140929,1
13304_merged_2013867,20140922,1
13304_merged_2013867,20140923,1
13304_merged_2013867,20140926,1
13304_merged_2013867,20140924,1
13304_merged_2013867,20140925,1
13304_merged_2013867,20140904,1
13304_merged_2013867,20140905,1
13304_merged_2013867,20140930,1
13304_merged_2013867,20141121,1
13304_merged_2013867,20141120,1
13304_merged_2013867,20141125,1
13304_merged_2013867,20141124,1
13304_merged_2013867,20141126,1
13304_merged_2013867,20141008,1
13304_merged_2013867,20141009,1
13304_merged_2013867,20141002,1
13304_merged_2013867,20141003,1
13304_merged_2013867,20141001,1
13304_merged_2013867,20141006,1
13304_merged_2013867,20141007,1
22_merged_2013832,20140526,1
32404_merged_2013878,20140827,1
32404_merged_2013878,20140826,1
32404_merged_2013878,20140825,1
32404_merged_2013878,20140822,1
32404_merged_2013878,20140902,1
32404_merged_2013878,20140820,1
32404_merged_2013878,20140903,1
32404_merged_2013878,20140829,1
32404_merged_2013878,20140828,1
32404_merged_2013878,20140818,1
32404_merged_2013878,20140819,1
32404_merged_2013878,20140821,1
32404_merged_2013878,20140905,1
32404_merged_2013878,20140904,1
24_merged_2013861,20141004,1
71304_merged_2013853,20140725,1
71304_merged_2013853,20140718,1
71304_merged_2013853,20140620,1
71304_merged_2013853,20140627,1
71304_merged_2013853,20140613,1
71304_merged_2013853,20140808,1
71304_merged_2013853,20140711,1
71304_merged_2013853,20140815,1
71304_merged_2013853,20140801,1
71304_merged_2013853,20140606,1
17_merged_2013887,20141127,1
1004_merged_2013891,20141024,1
1004_merged_2013891,20141021,1
1004_merged_2013891,20141022,1
1004_merged_2013891,20141023,1
1004_merged_2013891,20141202,1
1004_merged_2013891,20141203,1
1004_merged_2013891,20141028,1
1004_merged_2013891,20141029,1
1004_merged_2013891,20140923,1
1004_merged_2013891,20140930,1
